series,episode,baker,technical,result,signature_bake,show_stopper,last_name,baker_age,baker_occupation,hometown
2,4,"""Jo""",NA,NA,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA,NA
2,5,Holly,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,Bell,31,Advertising executive,Leicester
2,5,Joanne,6,IN,NA,NA,NA,NA,NA,NA
2,5,Mary-Anne,2,IN,Chicken and Bacon Pie,Midnight Meringue,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,5,Yasmin,5,IN,Family Fish Pie,Peach and Raspberry Meringue Pie,Limbert,43,Childminder,"West Kirby, The Wirral"
2,5,Jason,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie,White,19,Civil Engineering Student,Croydon
2,5,Robert,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,Billington,25,Photographer,London
2,5,Janet,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,5,Ben,NA,NA,NA,NA,Frazer,31,Graphic Designer,Northampton
2,5,Ian,NA,NA,NA,NA,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,5,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,5,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,5,Urvashi,NA,NA,NA,NA,Roe,40,Head of Marketing,"Enfield, London"
2,5,"""Jo""",NA,NA,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA,NA,NA
2,6,Holly,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,Bell,31,Advertising executive,Leicester
2,6,Janet,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,6,Mary-Anne,4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,6,Yasmin,2,OUT,Baked Amaretto Cheesecake,Rose Croquembouche,Limbert,43,Childminder,"West Kirby, The Wirral"
2,6,Joanne,1,STAR BAKER,NA,NA,NA,NA,NA,NA
2,6,Ben,NA,NA,NA,NA,Frazer,31,Graphic Designer,Northampton
2,6,Ian,NA,NA,NA,NA,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,6,Jason,NA,NA,NA,NA,White,19,Civil Engineering Student,Croydon
2,6,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,6,Robert,NA,NA,NA,NA,Billington,25,Photographer,London
2,6,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,6,Urvashi,NA,NA,NA,NA,Roe,40,Head of Marketing,"Enfield, London"
2,6,"""Jo""",NA,NA,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA,NA,NA
2,7,Holly,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Bell,31,Advertising executive,Leicester
2,7,Joanne,3,IN,NA,NA,NA,NA,NA,NA
2,7,Mary-Anne,2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,7,Janet,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,7,Ben,NA,NA,NA,NA,Frazer,31,Graphic Designer,Northampton
2,7,Ian,NA,NA,NA,NA,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,7,Jason,NA,NA,NA,NA,White,19,Civil Engineering Student,Croydon
2,7,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,7,Robert,NA,NA,NA,NA,Billington,25,Photographer,London
2,7,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,7,Urvashi,NA,NA,NA,NA,Roe,40,Head of Marketing,"Enfield, London"
2,7,Yasmin,NA,NA,NA,NA,Limbert,43,Childminder,"West Kirby, The Wirral"
2,7,"""Jo""",NA,NA,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA,NA
2,8,Holly,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Bell,31,Advertising executive,Leicester
2,8,Mary-Anne,3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Boermans,45,Housewife,"Kidderminster, Worcestershire"
2,8,Joanne,1,WINNER,NA,NA,NA,NA,NA,NA
2,8,Ben,NA,NA,NA,NA,Frazer,31,Graphic Designer,Northampton
2,8,Ian,NA,NA,NA,NA,Vallance,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
2,8,Janet,NA,NA,NA,NA,Basu,63,Teacher of Modern Languages,"Formby, Liverpool"
2,8,Jason,NA,NA,NA,NA,White,19,Civil Engineering Student,Croydon
2,8,Keith,NA,NA,NA,NA,Batsford,31,House husband,"Arlesey, Bedfordshire"
2,8,Robert,NA,NA,NA,NA,Billington,25,Photographer,London
2,8,Simon,NA,NA,NA,NA,Blackwell,31,Rugby Coach,Norfolk
2,8,Urvashi,NA,NA,NA,NA,Roe,40,Head of Marketing,"Enfield, London"
2,8,Yasmin,NA,NA,NA,NA,Limbert,43,Childminder,"West Kirby, The Wirral"
2,8,"""Jo""",NA,NA,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA,NA
3,1,Brendan,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN,Lynch,63,Recruitment consultant,Sutton Coldfield
3,1,Cathryn,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,1,Danny,7,IN,"Plum, Ginger & Orange",UNKNOWN,Bryden,45,Intensive care consultant,Sheffield
3,1,James,2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",Morton,21,Medical student,"Hillswick, Shetland Islands"
3,1,John,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,Whaite,22,Law student,Wigan
3,1,Manisha,6,IN,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,Parmar,27,Nursery nurse,Leicester
3,1,Peter,3,IN,"Pear, Muscat & Chocolate",Jubilee Cake,Maloney,43,Sales manager,"Windsor, Berkshire"
3,1,Ryan,8,IN,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,Chong,38,Photographer,Bristol
3,1,Sarah-Jane,1,IN,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,Willis,28,Vicar's wife,"Bewbush, West Sussex"
3,1,Stuart,9,IN,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire"
3,1,Natasha,12,OUT,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,Stringer,36,Midwife,"Tamworth, Staffordshire"
3,1,Victoria,4,STAR BAKER,Pear and Pecan,Blackbird Pie Cake,Chester,50,CEO of the charity Plantlife,Somerset
3,2,Brendan,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",Lynch,63,Recruitment consultant,Sutton Coldfield
3,2,Cathryn,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,2,Danny,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,Bryden,45,Intensive care consultant,Sheffield
3,2,James,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",Morton,21,Medical student,"Hillswick, Shetland Islands"
3,2,Manisha,6,IN,Indian FlatbreadsItalian Flatbreads,UNKNOWN,Parmar,27,Nursery nurse,Leicester
3,2,Ryan,5,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",Chong,38,Photographer,Bristol
3,2,Sarah-Jane,10,IN,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,Willis,28,Vicar's wife,"Bewbush, West Sussex"
3,2,Stuart,9,IN,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",Marston-Smith,26,PE teacher,"Lichfield, Staffordshire"
3,2,Victoria,7,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",Chester,50,CEO of the charity Plantlife,Somerset
3,2,Peter,11,OUT,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",Maloney,43,Sales manager,"Windsor, Berkshire"
3,2,John,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",Whaite,22,Law student,Wigan
3,2,Natasha,NA,NA,NA,NA,Stringer,36,Midwife,"Tamworth, Staffordshire"
3,3,Brendan,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",Lynch,63,Recruitment consultant,Sutton Coldfield
3,3,Cathryn,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",Dresser,27,Shop assistant,"Pease Pottage, West Sussex"
3,3,Danny,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",Bryden,45,Intensive care consultant,Sheffield
3,3,John,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",Whaite,22,Law student,Wigan
3,3,Manisha,10,IN,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,Parmar,27,Nursery nurse,Leicester
3,3,Ryan,5,IN,Spiced Pear Tarte Tatin,UNKNOWN,Chong,38,Photographer,Bristol
3,3,Sarah-Jane,8,IN,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,Willis,28,Vicar's wife,"Bewbush, West Sussex"
3,3,Stuart,7,IN,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire"
3,3,Victoria,4,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,Chester,50,CEO of the charity Plantlife,Somerset
3,3,James,1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",Morton,21,Medical student,"Hillswick, Shetland Islands"
3,3,Natasha,NA,NA,NA,NA,Stringer,36,Midwife,"Tamworth, Staffordshire"
